Name,Slug,Collection ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Menu,Category,Subcategory,Item,Price,Description,Image
Imported item 140,imported-item-140,67cdad02e3ca9f1f188d1e33,67cdadb9b54af5436fc2c6f2,false,false,Sun Mar 09 2025 15:03:21 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:03:21 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 16:14:37 GMT+0000 (Coordinated Universal Time),Hyena's Albuquerque Menu,FROZENRITA'S & DAIQUIRIS,,THE GRAND HYENA,$12,Margarita Made with Jose Cuervo & Grand Marnier on the Rocks,
Imported item 141,imported-item-141,67cdad02e3ca9f1f188d1e33,67cdadb97fd3b5efa1cb885d,false,false,Sun Mar 09 2025 15:03:21 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:03:21 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 16:14:37 GMT+0000 (Coordinated Universal Time),Hyena's Albuquerque Menu,FROZENRITA'S & DAIQUIRIS,,FROZEN DAIQUIRIS - Strawberry,$12,Option: Strawberry,
Imported item 142,imported-item-142,67cdad02e3ca9f1f188d1e33,67cdadb988b3110eabc25253,false,false,Sun Mar 09 2025 15:03:21 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:03:21 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 16:14:37 GMT+0000 (Coordinated Universal Time),Hyena's Albuquerque Menu,FROZENRITA'S & DAIQUIRIS,,FROZEN DAIQUIRIS - Piña Colada,$12,Option: Piña Colada,
Imported item 143,imported-item-143,67cdad02e3ca9f1f188d1e33,67cdadb9cdd7d0feef11879b,false,false,Sun Mar 09 2025 15:03:21 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:03:21 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 16:14:37 GMT+0000 (Coordinated Universal Time),Hyena's Albuquerque Menu,FROZENRITA'S & DAIQUIRIS,,FROZEN DAIQUIRIS - Strawberry Piña Colada,$12,Option: Strawberry Piña Colada,
Imported item 144,imported-item-144,67cdad02e3ca9f1f188d1e33,67cdadb9a900c3af56d84e7e,false,false,Sun Mar 09 2025 15:03:21 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:03:21 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 16:14:37 GMT+0000 (Coordinated Universal Time),Hyena's Albuquerque Menu,FROZENRITA'S & DAIQUIRIS,,FROZEN DAIQUIRIS - Strawberry Banana,$12,Option: Strawberry Banana,
Imported item 145,imported-item-145,67cdad02e3ca9f1f188d1e33,67cdadb9e10924ac265385d2,false,false,Sun Mar 09 2025 15:03:21 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:03:21 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 16:14:37 GMT+0000 (Coordinated Universal Time),Hyena's Albuquerque Menu,FROZENRITA'S & DAIQUIRIS,,FROZEN DAIQUIRIS - Peach Piña Colada,$12,Option: Peach Piña Colada,
Imported item 146,imported-item-146,67cdad02e3ca9f1f188d1e33,67cdadb9e31d5564902d1783,false,false,Sun Mar 09 2025 15:03:21 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:03:21 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 16:14:37 GMT+0000 (Coordinated Universal Time),Hyena's Albuquerque Menu,FROZENRITA'S & DAIQUIRIS,,FROZEN VIRGIN DAIQUIRIS - Crazy Berry,$8,Option: Crazy Berry,
Imported item 147,imported-item-147,67cdad02e3ca9f1f188d1e33,67cdadb988b3110eabc2526e,false,false,Sun Mar 09 2025 15:03:21 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:03:21 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 16:14:37 GMT+0000 (Coordinated Universal Time),Hyena's Albuquerque Menu,FROZENRITA'S & DAIQUIRIS,,FROZEN VIRGIN DAIQUIRIS - Looney Tunes,$8,Option: Looney Tunes,
Imported item 148,imported-item-148,67cdad02e3ca9f1f188d1e33,67cdadba6027fcffa390e379,false,false,Sun Mar 09 2025 15:03:22 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:03:22 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 16:14:37 GMT+0000 (Coordinated Universal Time),Hyena's Albuquerque Menu,FROZENRITA'S & DAIQUIRIS,,FROZEN VIRGIN DAIQUIRIS - Virgin Strawberry,$8,Option: Virgin Strawberry,
Imported item 149,imported-item-149,67cdad02e3ca9f1f188d1e33,67cdadbab4f5433e75312b2e,false,false,Sun Mar 09 2025 15:03:22 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:03:22 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 16:14:37 GMT+0000 (Coordinated Universal Time),Hyena's Albuquerque Menu,FROZENRITA'S & DAIQUIRIS,,FROZEN VIRGIN DAIQUIRIS - Virgin Peach,$8,Option: Virgin Peach,
Imported item 15,imported-item-15,67cdad02e3ca9f1f188d1e33,67cdadb05863caa70b8df7f4,false,false,Sun Mar 09 2025 15:03:12 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:03:12 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 16:14:37 GMT+0000 (Coordinated Universal Time),Hyena’s Dallas Menu,BEER,PREMIUM BEER,Heineken,$7,,
Imported item 150,imported-item-150,67cdad02e3ca9f1f188d1e33,67cdadba5380c492c5e8cf93,false,false,Sun Mar 09 2025 15:03:22 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:03:22 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 16:14:37 GMT+0000 (Coordinated Universal Time),Hyena's Albuquerque Menu,FROZENRITA'S & DAIQUIRIS,,FROZEN VIRGIN DAIQUIRIS - Virgin Banana Daiquiri,$8,Option: Virgin Banana Daiquiri,
